Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level
638225081765554441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
638225081765644415,24.92644,-0.9818845,3.595479,-62.47192,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.432642E-08,0
638225081765994299,24.92644,-0.9818845,3.595479,-62.39867,-64.33386,-134.8381,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.432642E-08,0
638225081766434163,24.92644,-0.9818845,3.595479,-62.47192,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638225081766784049,24.92644,-0.9818845,3.595479,-62.47192,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.08149,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638225081767113944,24.92644,-0.9818845,3.595479,-62.47192,-64.4071,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638225081767463832,24.92644,-0.9818845,3.595479,-62.47192,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638225081767803723,24.92644,-0.9818845,3.595479,-62.47192,-64.4071,-134.9114,43.25609,-0.8649935,-2.848366,-128.6855,-7.27587,26.08149,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.432642E-08,0
638225081768153613,24.92644,-0.9818845,3.595479,-62.39867,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.7588,-7.27587,26.00825,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.432642E-08,0
638225081768493503,24.92644,-0.9818845,3.595479,-62.47192,-64.33386,-134.9114,43.25609,-0.8649935,-2.848366,-128.6855,-7.27587,26.08149,0,0,0,59.71714,-112.0226,-39.85572,86.82815,-111.8484,-76.06861,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,1.686528E-07,0
