Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level
638224245001775928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
638224245001925735,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245002265635,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.36002,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245002605541,-31.38187,-0.9818845,0.1634309,-30.02431,-62.9422,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245002955425,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245003285309,-31.38187,-0.9818845,0.1634309,-30.02431,-62.9422,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.521038,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245003635198,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.36002,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245003975091,-31.38187,-0.9818845,0.1634309,-30.02431,-62.9422,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.521038,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245004314982,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245004654868,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245004994759,-31.38187,-0.9818845,0.1634309,-30.02431,-62.9422,-74.85035,-56.96799,-0.4675641,6.980833,-72.36002,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245005344668,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.521038,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245005684544,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245006024430,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245006354455,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245006684225,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.36002,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245007034106,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245007374016,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.521038,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245007713904,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245008053792,-31.38187,-0.9818845,0.1634309,-29.95106,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245008393682,-31.38187,-0.9818845,0.1634309,-30.02431,-62.9422,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245008733563,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.36002,-8.594284,-36.90935,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224245009063466,-31.38187,-0.9818845,0.1634309,-30.02431,-62.86895,-74.85035,-56.96799,-0.4675641,6.980833,-72.28677,-8.594284,-36.83611,0,0,0,-69.62849,-112.2846,-54.19901,-125.3798,-110.0997,-86.82777,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
