Joint angle 0,Joint angle 1,Joint angle 2,Stylus X,Stylus Y,Stylus Z,Ball X,Ball Y,Ball Z,label
5.88999,57.67403,34.43722,15.05589,26.05343,-22.40778,0.02368363,0.1735368,0.151346,0
5.91355,57.86105,34.46056,15.08259,26.31633,-22.73565,0.02368363,0.1735368,0.151346,0
5.91355,57.86105,34.48391,15.0872,26.34708,-22.69109,0.02368363,0.1735368,0.151346,0
5.91355,57.88443,34.50726,15.08707,26.40679,-22.69238,0.02368363,0.1735368,0.151346,0
5.91355,57.95457,34.60065,15.09126,26.61676,-22.65189,0.02368363,0.1735368,0.151346,0
5.93711,58.0247,34.78743,15.17382,26.95072,-22.44028,0.02368363,0.1735368,0.151346,0
6.03135,58.04808,34.99755,15.45109,27.25928,-22.11243,0.02368363,0.1735368,0.151346,0
6.07847,58.04808,35.18433,15.60902,27.50918,-21.77149,0.02368363,0.1735368,0.151346,0
6.12559,58.07146,35.4645,15.7814,27.91499,-21.30132,0.02368363,0.1735368,0.151346,0
6.172709,58.07146,35.74466,15.95933,28.29461,-20.78726,0.02368363,0.1735368,0.151346,0
6.19627,58.04808,36.09487,16.09624,28.74399,-20.09171,0.02368363,0.1735368,0.151346,0
6.19627,58.04808,36.37504,16.15301,29.12942,-19.56883,0.02368363,0.1735368,0.151346,0
6.172709,58.04808,36.49178,16.11533,29.29077,-19.34488,0.02368363,0.1735368,0.151346,0
6.172709,58.04808,36.51513,16.12003,29.3231,-19.30145,0.02368363,0.1735368,0.151346,0
6.172709,58.04808,36.51513,16.12003,29.3231,-19.30145,0.02368363,0.1735368,0.151346,0
6.172709,58.04808,36.51513,16.12003,29.3231,-19.30145,0.02368363,0.1735368,0.151346,0
6.172709,58.04808,36.51513,16.12003,29.3231,-19.30145,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.51513,16.05874,29.3231,-19.29484,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.51513,16.05874,29.3231,-19.29484,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.51513,16.05874,29.3231,-19.29484,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.51513,16.05874,29.3231,-19.29484,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.51513,16.05874,29.3231,-19.29484,0.02368363,0.1735368,0.151346,0
6.14915,58.04808,36.53847,16.06341,29.35544,-19.25142,0.02368363,0.1735368,0.151346,0
6.14915,58.0247,36.58516,16.07771,29.39137,-19.11874,0.02368363,0.1735368,0.151346,0
6.00779,57.93119,36.67855,15.74705,29.40566,-18.72255,0.02368363,0.1735368,0.151346,0
5.772191,57.74416,36.86533,15.20373,29.43418,-17.946,0.02368363,0.1735368,0.151346,0
5.442351,57.51038,37.19219,14.43882,29.60098,-16.79892,0.02368286,0.1735367,0.1513455,0
5.159632,57.29997,37.47236,13.77457,29.73262,-15.80225,0.02375444,0.1737442,0.1523591,0
4.900472,56.78566,37.61245,13.19231,29.28009,-14.48322,0.02312988,0.1736186,0.1529191,0
4.759112,56.22458,37.68249,12.91371,28.65901,-13.23728,0.02277246,0.1735728,0.1540565,0
4.711992,55.89729,37.84592,12.86276,28.46667,-12.2972,0.02267858,0.1736755,0.1549374,0
4.688432,55.64013,38.07939,12.87405,28.46424,-11.37177,0.02268479,0.1736428,0.155726,0
4.641313,55.38297,38.26617,12.81252,28.394,-10.52891,0.02255139,0.1737127,0.1566806,0
4.641313,55.19594,38.45295,12.86906,28.41591,-9.83251,0.02262891,0.1737287,0.1572666,0
4.594193,55.07904,38.70977,12.79399,28.63316,-9.13372,0.02253389,0.1737255,0.1581039,0
4.547072,55.00891,38.96659,12.71057,28.91448,-8.525779,0.02232356,0.1737345,0.1589649,0
4.499953,54.93878,39.20006,12.6227,29.16337,-7.961634,0.02223931,0.1737924,0.1596812,0
4.499953,54.9154,39.43353,12.65918,29.4764,-7.498146,0.0222485,0.1738864,0.160272,0
4.499953,54.9154,39.62031,12.68549,29.75307,-7.163879,0.02225588,0.1739357,0.1606535,0
4.499953,54.9154,39.76039,12.70517,29.96128,-6.91377,0.02227062,0.1740811,0.16088,0
4.523513,54.9154,39.83044,12.78143,30.06562,-6.794148,0.02236185,0.174109,0.1609597,0
4.523513,54.9154,39.94717,12.79787,30.23985,-6.586331,0.02239407,0.174271,0.1611602,0
4.499953,54.9154,40.08725,12.75095,30.4495,-6.332161,0.0223783,0.1744064,0.1613652,0
4.499953,54.9154,40.18064,12.76398,30.5896,-6.166498,0.02238052,0.1744927,0.1615126,0
